Identifier  Period  Choice         Wage  Experience_A  Experience_B  Years_Schooling  Lagged_Activity
       247       1       2            .             0             0               11                1
       247       2       4            .             0             1               11                3
       247       3       2    8506.6590             0             1               11                0
       247       4       1    6642.6060             0             2               11                3
       247       5       4            .             1             2               11                2
       247       6       2    4046.4950             1             2               11                0
       247       7       1   11249.9900             1             3               11                3
       247       8       1   12674.6900             2             3               11                2
       248       0       3            .             0             0               10                1
       248       1       4            .             0             0               11                1
       248       2       4            .             0             0               11                0
       248       3       1   10578.0100             0             0               11                0
       248       4       1   10892.8300             1             0               11                2
       248       5       1   19918.4200             2             0               11                2
       248       6       4            .             3             0               11                2
       248       7       3            .             3             0               11                0
       248       8       3            .             3             0               12                1
       248       9       3            .             3             0               13                1
       248      10       1   28103.6800             3             0               14                1
       249       0       3            .             0             0               11                1
       249       1       3            .             0             0               12                1
       249       2       4            .             0             0               13                1
       249       3       4            .             0             0               13                0
       249       4       3            .             0             0               13                0
       249       5       4            .             0             0               14                1
       249       6       4            .             0             0               14                0
       249       7       4            .             0             0               14                0
       249       8       4            .             0             0               14                0
       249       9       4            .             0             0               14                0
       250       0       1    8396.9440             0             0               11                1
       250       1       3            .             1             0               11                2
       250       2       3            .             1             0               12                1
       250       3       3            .             1             0               13                1
       250       4       3            .             1             0               14                1
       250       5       4            .             1             0               15                1
       250       6       3            .             1             0               15                0
       250       7       1   16052.1700             1             0               16                1
       250       8       2   21264.3700             2             0               16                2
       250       9       2   20513.5000             2             1               16                3
       251       0       4            .             0             0               10                1
       251       1       4            .             0             0               10                0
       251       2       4            .             0             0               10                0
       251       3       2   19971.3400             0             0               10                0
       251       4       2   28364.5400             0             1               10                3
       251       5       2   26099.9000             0             2               10                3
       251       6       2   17610.7000             0             3               10                3
       251       7       4            .             0             4               10                3
       252       0       3            .             0             0               10                1
       252       1       3            .             0             0               11                1
       253       0       3            .             0             0               10                1
       253       1       3            .             0             0               11                1
       253       2       3            .             0             0               12                1
       253       3       3            .             0             0               13                1
       253       4       3            .             0             0               14                1
       253       5       3            .             0             0               15                1
       253       6       1   14713.9500             0             0               16                1
       253       7       1   18810.7100             1             0               16                2
       254       0       3            .             0             0               10                1
       254       1       3            .             0             0               11                1
       254       2       3            .             0             0               12                1
       254       3       3            .             0             0               13                1
       254       4       2   12574.5500             0             0               14                1
       254       5       3            .             0             1               14                3
       254       6       2    6340.0390             0             1               15                1
       254       7       1   13140.9600             0             2               15                3
       254       8       1   30460.7300             1             2               15                2
       254       9       2   17001.1300             2             2               15                2
       255       0       3            .             0             0               10                1
       255       1       3            .             0             0               11                1
       255       2       3            .             0             0               12                1
       255       3       4            .             0             0               13                1
       255       4       3            .             0             0               13                0
       255       5       3            .             0             0               14                1
       255       6       3            .             0             0               15                1
       255       7       1   17798.1800             0             0               16                1
       256       0       3            .             0             0               10                1
       256       1       3            .             0             0               11                1
       256       2       1            .             0             0               12                1
       256       3       2    8843.2490             1             0               12                2
       256       4       2    5797.1050             1             1               12                3
       256       5       2    9732.1030             1             2               12                3
       256       6       2   20070.4300             1             3               12                3
       256       7       1   26000.1800             1             4               12                3
       256       8       1   30931.0900             2             4               12                2
       257       0       2            .             0             0                8                0
       257       1       2   11171.8800             0             1                8                3
       257       2       2   11923.3200             0             2                8                3
       257       3       2    9780.7270             0             3                8                3
       257       4       2            .             0             4                8                3
       257       5       2   10696.4300             0             5                8                3
       257       6       2   13672.6300             0             6                8                3
       257       7       2   18080.8400             0             7                8                3
       257       8       2   17062.0700             0             8                8                3
       258       0       3            .             0             0               10                1
       258       1       2    6769.3640             0             0               11                1
       258       2       4            .             0             1               11                3
       259       0       3            .             0             0               10                1
       259       1       3            .             0             0               11                1
       259       2       1            .             0             0               12                1
       259       3       4            .             1             0               12                2
       259       4       2            .             1             0               12                0
       259       5       4            .             1             1               12                3
       259       6       2   16508.3900             1             1               12                0
       259       7       2            .             1             2               12                3
       259       8       2   23878.9600             1             3               12                3
       259       9       2   24374.4200             1             4               12                3
       260       0       3            .             0             0                9                0
       260       1       3            .             0             0               10                1
       260       2       3            .             0             0               11                1
       260       3       3            .             0             0               12                1
       260       4       4            .             0             0               13                1
       260       5       4            .             0             0               13                0
       260       6       4            .             0             0               13                0
       260       7       2    7649.9170             0             0               13                0
       260       8       2    7577.1650             0             1               13                3
       260       9       1   11475.2100             0             2               13                3
       260      10       2   12187.2000             1             2               13                2
       261       0       3            .             0             0                9                0
       261       1       4            .             0             0               10                1
       261       2       2    8156.9590             0             0               10                0
       261       3       4            .             0             1               10                3
       261       4       4            .             0             1               10                0
       261       5       1            .             0             1               10                0
       261       6       1   16205.4000             1             1               10                2
       261       7       2    6035.7850             2             1               10                2
       261       8       2   11331.0900             2             2               10                3
       261       9       2   15121.8700             2             3               10                3
       262       0       3            .             0             0               10                1
       262       1       3            .             0             0               11                1
       262       2       1   12638.5800             0             0               12                1
       262       3       1   12094.1100             1             0               12                2
       262       4       2            .             2             0               12                2
       262       5       2   20720.6900             2             1               12                3
       262       6       2   15803.2100             2             2               12                3
       262       7       2            .             2             3               12                3
       262       8       2            .             2             4               12                3
       262       9       2   29147.5500             2             5               12                3
       263       0       3            .             0             0               10                1
       264       0       3            .             0             0               10                1
       264       1       3            .             0             0               11                1
       265       0       3            .             0             0                9                0
       265       1       3            .             0             0               10                1
       265       2       3            .             0             0               11                1
       265       3       2            .             0             0               12                1
       265       4       3            .             0             1               12                3
       265       5       2    6556.8080             0             1               13                1
       265       6       2            .             0             2               13                3
       265       7       1            .             0             3               13                3
       265       8       1            .             1             3               13                2
       265       9       1   14873.2600             2             3               13                2
       266       0       3            .             0             0                9                0
       266       1       4            .             0             0               10                1
       266       2       2            .             0             0               10                0
       266       3       2            .             0             1               10                3
       266       4       4            .             0             2               10                3
       266       5       4            .             0             2               10                0
       266       6       4            .             0             2               10                0
       266       7       2    7096.7770             0             2               10                0
       267       0       3            .             0             0                9                0
       267       1       3            .             0             0               10                1
       268       0       3            .             0             0               10                1
       268       1       4            .             0             0               11                1
       268       2       1   13011.1000             0             0               11                0
       268       3       4            .             1             0               11                2
       268       4       4            .             1             0               11                0
       268       5       1            .             1             0               11                0
       268       6       1            .             2             0               11                2
       268       7       4            .             3             0               11                2
       268       8       3            .             3             0               11                0
       268       9       1    9749.7530             3             0               12                1
       269       0       4            .             0             0                9                0
       269       1       4            .             0             0                9                0
       269       2       4            .             0             0                9                0
       269       3       4            .             0             0                9                0
       269       4       4            .             0             0                9                0
       269       5       4            .             0             0                9                0
       269       6       4            .             0             0                9                0
       269       7       4            .             0             0                9                0
       270       0       4            .             0             0                9                0
       270       1       2            .             0             0                9                0
       270       2       2            .             0             1                9                3
       270       3       4            .             0             2                9                3
       270       4       4            .             0             2                9                0
       270       5       4            .             0             2                9                0
       271       0       4            .             0             0                7                0
       271       1       4            .             0             0                7                0
       271       2       3            .             0             0                7                0
       271       3       4            .             0             0                8                1
       271       4       4            .             0             0                8                0
       271       5       4            .             0             0                8                0
       271       6       4            .             0             0                8                0
       272       0       3            .             0             0               10                1
       272       1       3            .             0             0               11                1
       272       2       3            .             0             0               12                1
       272       3       3            .             0             0               13                1
       272       4       3            .             0             0               14                1
       272       5       4            .             0             0               15                1
       272       6       3            .             0             0               15                0
       272       7       4            .             0             0               16                1
       273       0       3            .             0             0               10                1
       273       1       3            .             0             0               11                1
       273       2       3            .             0             0               12                1
       273       3       1    6613.8890             0             0               13                1
       273       4       1            .             1             0               13                2
       273       5       1            .             2             0               13                2
       273       6       1            .             3             0               13                2
       273       7       2   49258.4300             4             0               13                2
       273       8       2   48750.1600             4             1               13                3
       273       9       1   45989.8100             4             2               13                3
       273      10       1   42167.7000             5             2               13                2
       274       0       3            .             0             0               10                1
       274       1       3            .             0             0               11                1
       274       2       3            .             0             0               12                1
       274       3       2   11645.4200             0             0               13                1
       274       4       3            .             0             1               13                3
       274       5       4            .             0             1               14                1
       274       6       3            .             0             1               14                0
       274       7       1   20088.3600             0             1               15                1
       275       0       3            .             0             0                7                0
       275       1       3            .             0             0                8                1
       275       2       2   14996.4100             0             0                9                1
       275       3       2   16021.0900             0             1                9                3
       275       4       2   21299.2400             0             2                9                3
       275       5       2   30734.2600             0             3                9                3
       275       6       2   27092.6400             0             4                9                3
       275       7       2   19707.0700             0             5                9                3
       275       8       2   21182.2300             0             6                9                3
       275       9       2   17131.0700             0             7                9                3
       275      10       2   14624.6400             0             8                9                3
       276       0       4            .             0             0                8                0
       276       1       2   11433.3700             0             0                8                0
       276       2       2   13154.0000             0             1                8                3
       276       3       4            .             0             2                8                3
       276       4       2   16235.5000             0             2                8                0
       276       5       2   17258.6500             0             3                8                3
       276       6       2   16529.3400             0             4                8                3
       276       7       2   21365.4400             0             5                8                3
       276       8       1   26811.8600             0             6                8                3
       277       0       3            .             0             0                9                0
       277       1       3            .             0             0               10                1
       277       2       3            .             0             0               11                1
       277       3       2    8391.3560             0             0               12                1
       277       4       2    7251.2080             0             1               12                3
       277       5       2   18791.1700             0             2               12                3
       277       6       2   20826.9200             0             3               12                3
       277       7       2   15987.7900             0             4               12                3
       277       8       2   18280.7900             0             5               12                3
       278       0       2    8756.3320             0             0                9                0
       278       1       2    8186.5730             0             1                9                3
       278       2       4            .             0             2                9                3
       278       3       4            .             0             2                9                0
       278       4       4            .             0             2                9                0
       278       5       2    7415.2540             0             2                9                0
       278       6       2   14326.4400             0             3                9                3
       278       7       2   20213.2700             0             4                9                3
       278       8       2   21015.6300             0             5                9                3
       279       0       3            .             0             0                8                0
       279       1       3            .             0             0                9                1
       279       2       2    5526.3270             0             0               10                1
       279       3       4            .             0             1               10                3
       279       4       2    9897.3780             0             1               10                0
       279       5       2   11193.1400             0             2               10                3
       279       6       2   30671.6600             0             3               10                3
       279       7       2    7921.6790             0             4               10                3
       280       0       3            .             0             0               10                1
       280       1       3            .             0             0               11                1
       280       2       3            .             0             0               12                1
       280       3       3            .             0             0               13                1
       280       4       4            .             0             0               14                1
       280       5       3            .             0             0               14                0
       280       6       4            .             0             0               15                1
       280       7       3            .             0             0               15                0
       280       8       4            .             0             0               16                1
       280       9       1   22769.9500             0             0               16                0
       280      10       2   92135.2300             1             0               16                2
       281       0       3            .             0             0               10                1
       281       1       3            .             0             0               11                1
       281       2       3            .             0             0               12                1
       281       3       3            .             0             0               13                1
       281       4       3            .             0             0               14                1
       281       5       4            .             0             0               15                1
       281       6       3            .             0             0               15                0
       281       7       4            .             0             0               16                1
       282       0       3            .             0             0               10                1
       282       1       3            .             0             0               11                1
       282       2       2    9750.4030             0             0               12                1
       282       3       2   11128.8600             0             1               12                3
       282       4       1   19725.7200             0             2               12                3
       282       5       1   22150.7400             1             2               12                2
       282       6       1            .             2             2               12                2
       282       7       1            .             3             2               12                2
       282       8       2   13886.5400             4             2               12                2
       282       9       2   13649.6700             4             3               12                3
       283       0       3            .             0             0               10                1
       283       1       3            .             0             0               11                1
       283       2       3            .             0             0               12                1
       284       0       3            .             0             0               10                1
       284       1       3            .             0             0               11                1
       285       0       3            .             0             0                9                0
       285       1       3            .             0             0               10                1
       285       2       3            .             0             0               11                1
       285       3       1    8664.8390             0             0               12                1
       285       4       4            .             1             0               12                2
       285       5       2            .             1             0               12                0
       285       6       2   11637.9600             1             1               12                3
       285       7       1   12402.0500             1             2               12                3
       286       0       3            .             0             0               10                1
       286       1       3            .             0             0               11                1
       286       2       4            .             0             0               12                1
       286       3       4            .             0             0               12                0
       286       4       4            .             0             0               12                0
       286       5       2   14711.3400             0             0               12                0
       286       6       2   13932.3300             0             1               12                3
       286       7       1   14491.2200             0             2               12                3
       286       8       1   14527.1400             1             2               12                2
       287       0       3            .             0             0               10                1
       287       1       3            .             0             0               11                1
       287       2       3            .             0             0               12                1
       287       3       3            .             0             0               13                1
       287       4       4            .             0             0               14                1
       287       5       3            .             0             0               14                0
       287       6       4            .             0             0               15                1
       287       7       3            .             0             0               15                0
       287       8       1   25310.3600             0             0               16                1
       288       0       3            .             0             0               10                1
       288       1       3            .             0             0               11                1
       288       2       3            .             0             0               12                1
       288       3       3            .             0             0               13                1
       288       4       3            .             0             0               14                1
       288       5       3            .             0             0               15                1
       288       6       1   16435.0000             0             0               16                1
       288       7       1   34666.4300             1             0               16                2
       288       8       1   36244.1400             2             0               16                2
       288       9       1   27891.2500             3             0               16                2
       288      10       1   53812.4700             4             0               16                2
       289       0       3            .             0             0               10                1
       289       1       3            .             0             0               11                1
       289       2       2            .             0             0               12                1
       289       3       2            .             0             1               12                3
       289       4       2            .             0             2               12                3
       289       5       2   13692.7500             0             3               12                3
       289       6       2   13309.3400             0             4               12                3
       289       7       2   13113.6000             0             5               12                3
       289       8       2   14074.3100             0             6               12                3
       289       9       2            .             0             7               12                3
       289      10       2            .             0             8               12                3
       290       0       3            .             0             0               10                1
       290       1       3            .             0             0               11                1
       290       2       3            .             0             0               12                1
       290       3       3            .             0             0               13                1
       290       4       3            .             0             0               14                1
       290       5       3            .             0             0               15                1
       290       6       1   16345.0300             0             0               16                1
       290       7       1            .             1             0               16                2
       290       8       1   18949.9300             2             0               16                2
       290       9       2            .             3             0               16                2
       291       0       3            .             0             0                9                0
       291       1       3            .             0             0               10                1
       291       2       3            .             0             0               11                1
       291       3       3            .             0             0               12                1
       292       0       3            .             0             0               10                1
       292       1       1    5966.5860             0             0               11                1
       292       2       2    7912.8450             1             0               11                2
       292       3       1    6868.1340             1             1               11                3
       292       4       2   13177.2300             2             1               11                2
       292       5       2   13802.6700             2             2               11                3
       292       6       1   16168.5000             2             3               11                3
       292       7       1   16282.1100             3             3               11                2
       293       0       3            .             0             0               10                1
       293       1       3            .             0             0               11                1
       293       2       3            .             0             0               12                1
       293       3       3            .             0             0               13                1
       293       4       1   15603.7300             0             0               14                1
       293       5       1   13741.2800             1             0               14                2
       293       6       1   16592.0100             2             0               14                2
       293       7       1   26730.1100             3             0               14                2
       293       8       1   32905.4500             4             0               14                2
       294       0       4            .             0             0                9                0
       294       1       4            .             0             0                9                0
       294       2       2    7628.2880             0             0                9                0
       294       3       2            .             0             1                9                3
       294       4       2   10649.7500             0             2                9                3
       294       5       2            .             0             3                9                3
       294       6       2            .             0             4                9                3
       294       7       2   13474.5000             0             5                9                3
       295       0       2   12809.3600             0             0                8                0
       295       1       2            .             0             1                8                3
       295       2       2   19140.6800             0             2                8                3
       295       3       4            .             0             3                8                3
       295       4       2            .             0             3                8                0
       295       5       2   14071.0100             0             4                8                3
       295       6       2   13655.0300             0             5                8                3
       295       7       2   10938.4000             0             6                8                3
       295       8       2   12127.9800             0             7                8                3
       295       9       2   14137.1600             0             8                8                3
       296       0       3            .             0             0               10                1
       296       1       3            .             0             0               11                1
       297       0       3            .             0             0               10                1
       297       1       2   10013.4700             0             0               11                1
       297       2       4            .             0             1               11                3
       297       3       4            .             0             1               11                0
       297       4       2   15608.0800             0             1               11                0
       298       0       3            .             0             0                9                0
       298       1       3            .             0             0               10                1
       298       2       1   27894.0200             0             0               11                1
       298       3       2            .             1             0               11                2
       298       4       2            .             1             1               11                3
       298       5       2   11016.1700             1             2               11                3
       298       6       2   10985.7600             1             3               11                3
       298       7       2            .             1             4               11                3
       298       8       2            .             1             5               11                3
       298       9       2   25110.7600             1             6               11                3
       298      10       2   40364.0000             1             7               11                3
       299       0       3            .             0             0               10                1
       299       1       3            .             0             0               11                1
       299       2       3            .             0             0               12                1
       299       3       1   12769.2300             0             0               13                1
       299       4       1   16557.3600             1             0               13                2
       300       0       3            .             0             0               10                1
       300       1       3            .             0             0               11                1
       300       2       3            .             0             0               12                1
       300       3       2   10549.8800             0             0               13                1
       300       4       4            .             0             1               13                3
       300       5       3            .             0             1               13                0
       300       6       3            .             0             1               14                1
       300       7       3            .             0             1               15                1
       300       8       4            .             0             1               16                1
       301       0       4            .             0             0                8                0
       301       1       4            .             0             0                8                0
       301       2       4            .             0             0                8                0
       301       3       2            .             0             0                8                0
       301       4       4            .             0             1                8                3
       301       5       2   11754.9700             0             1                8                0
       301       6       4            .             0             2                8                3
       301       7       4            .             0             2                8                0
       301       8       4            .             0             2                8                0
       302       0       2   12439.3400             0             0                7                0
       302       1       2   11526.6900             0             1                7                3
       302       2       2    6086.6410             0             2                7                3
       302       3       2   11728.1700             0             3                7                3
       302       4       2   38933.5000             0             4                7                3
       302       5       2   28251.7500             0             5                7                3
